,source_node,path,distance
101,33,"[33, 226, 136, 73, 211, 236, 155, 1, 5]",9
102,34,"[34, 276, 184, 243, 8, 117, 1, 5]",8
103,34,"[34, 276, 184, 243, 8, 117, 40, 25]",8
104,34,"[34, 276, 184, 243, 8, 146, 104, 74, 15]",9
105,35,"[35, 24, 241, 14, 81, 25]",6
106,35,"[35, 188, 71, 46, 194, 287, 10]",7
107,35,"[35, 188, 71, 46, 0, 155, 1, 5]",8
108,36,"[36, 188, 71, 46, 194, 287, 10]",7
109,36,"[36, 188, 71, 46, 0, 155, 1, 5]",8
110,36,"[36, 188, 35, 24, 241, 14, 81, 25]",8
111,37,"[37, 188, 71, 46, 194, 287, 10]",7
112,37,"[37, 106, 272, 246, 104, 74, 15]",7
113,37,"[37, 188, 71, 46, 0, 155, 1, 5]",8
114,38,"[38, 263, 175, 25]",4
115,38,"[38, 263, 8, 117, 1, 5]",6
116,38,"[38, 263, 8, 146, 104, 74, 15]",7
117,39,"[39, 58, 246, 104, 74, 15]",6
118,39,"[39, 58, 246, 126, 163, 76, 81, 25]",8
119,39,"[39, 58, 246, 104, 146, 8, 117, 1, 5]",9
120,40,"[40, 25]",2
121,40,"[40, 115, 15]",3
122,40,"[40, 117, 1, 5]",4
123,41,"[41, 114, 106, 272, 246, 104, 74, 15]",8
124,41,"[41, 114, 106, 37, 188, 71, 46, 194, 287, 10]",10
125,41,"[41, 114, 106, 272, 246, 126, 163, 76, 81, 25]",10
126,42,"[42, 133, 93, 64, 142, 243, 8, 117, 1, 5]",10
127,42,"[42, 133, 93, 64, 142, 243, 8, 117, 40, 25]",10
128,42,"[42, 133, 93, 64, 142, 243, 8, 146, 104, 74, 15]",11
129,43,"[43, 292, 223, 24, 241, 14, 81, 25]",8
130,43,"[43, 292, 223, 258, 264, 236, 155, 1, 5]",9
131,43,"[43, 292, 223, 258, 264, 198, 146, 104, 74, 15]",10
132,44,"[44, 156, 128, 180, 1, 5]",6
133,44,"[44, 156, 128, 180, 1, 117, 40, 25]",8
134,44,"[44, 156, 128, 180, 1, 117, 40, 115, 15]",9
135,45,"[45, 77, 297, 275, 159, 5]",6
136,45,"[45, 56, 120, 144, 283, 252, 72, 40, 25]",9
137,45,"[45, 56, 134, 54, 264, 198, 146, 104, 74, 15]",10
138,46,"[46, 194, 287, 10]",4
139,46,"[46, 0, 155, 1, 5]",5
140,46,"[46, 0, 155, 1, 117, 40, 25]",7
141,47,"[47, 159, 5]",3
142,47,"[47, 159, 5, 1, 117, 40, 25]",7
143,47,"[47, 159, 5, 1, 117, 40, 115, 15]",8
144,48,"[48, 219, 209, 236, 155, 1, 5]",7
145,48,"[48, 219, 209, 236, 280, 76, 81, 25]",8
146,48,"[48, 219, 209, 236, 155, 0, 46, 194, 287, 10]",10
147,49,"[49, 73, 211, 236, 155, 1, 5]",7
148,49,"[49, 73, 211, 236, 280, 76, 81, 25]",8
149,49,"[49, 73, 211, 236, 155, 0, 46, 194, 287, 10]",10
150,50,"[50, 195, 223, 24, 241, 14, 81, 25]",8
151,50,"[50, 195, 223, 258, 264, 236, 155, 1, 5]",9
152,50,"[50, 195, 223, 258, 264, 198, 146, 104, 74, 15]",10
153,51,"[51, 118, 290, 98, 105, 86, 184, 243, 8, 117, 1, 5]",12
154,51,"[51, 118, 290, 98, 105, 86, 184, 243, 8, 117, 40, 25]",12
155,51,"[51, 118, 290, 98, 105, 86, 184, 243, 8, 146, 104, 74, 15]",13
156,52,"[52, 231, 166, 144, 283, 252, 72, 40, 25]",9
157,52,"[52, 231, 166, 144, 283, 252, 72, 40, 115, 15]",10
158,52,"[52, 231, 166, 144, 283, 252, 72, 40, 117, 1, 5]",11
159,53,"[53, 288, 207, 297, 275, 159, 5]",7
160,53,"[53, 288, 282, 289, 206, 81, 25]",7
161,53,"[53, 181, 106, 272, 246, 104, 74, 15]",8
162,54,"[54, 264, 236, 155, 1, 5]",6
163,54,"[54, 264, 198, 146, 104, 74, 15]",7
164,54,"[54, 264, 236, 280, 76, 81, 25]",7
165,55,"[55, 77, 297, 275, 159, 5]",6
166,55,"[55, 96, 258, 264, 198, 146, 104, 74, 15]",9
167,55,"[55, 96, 258, 223, 24, 241, 14, 81, 25]",9
168,56,"[56, 45, 77, 297, 275, 159, 5]",7
169,56,"[56, 120, 144, 283, 252, 72, 40, 25]",8
170,56,"[56, 134, 54, 264, 198, 146, 104, 74, 15]",9
171,57,"[57, 123, 216, 264, 236, 155, 1, 5]",8
172,57,"[57, 123, 216, 3, 71, 46, 194, 287, 10]",9
173,57,"[57, 123, 216, 264, 198, 146, 104, 74, 15]",9
174,58,"[58, 246, 104, 74, 15]",5
175,58,"[58, 246, 126, 163, 76, 81, 25]",7
176,58,"[58, 246, 104, 146, 8, 117, 1, 5]",8
177,59,"[59, 157, 124, 256, 105, 86, 184, 243, 8, 117, 1, 5]",12
178,59,"[59, 157, 124, 256, 105, 86, 184, 243, 8, 117, 40, 25]",12
179,59,"[59, 157, 124, 256, 105, 86, 184, 243, 8, 146, 104, 74, 15]",13
180,60,"[60, 205, 83, 288, 207, 297, 275, 159, 5]",9
181,60,"[60, 205, 83, 288, 282, 289, 206, 81, 25]",9
182,60,"[60, 205, 83, 288, 53, 181, 106, 272, 246, 104, 74, 15]",12
183,61,"[61, 299, 113, 21, 193, 142, 243, 8, 117, 1, 5]",11
184,61,"[61, 299, 113, 21, 193, 142, 243, 8, 117, 40, 25]",11
185,61,"[61, 299, 113, 21, 193, 142, 243, 8, 146, 104, 74, 15]",12
186,62,"[62, 161, 129, 210, 102, 44, 156, 128, 180, 1, 5]",11
187,62,"[62, 161, 129, 210, 56, 120, 144, 283, 252, 72, 40, 25]",12
188,62,"[62, 161, 129, 210, 111, 96, 258, 264, 198, 146, 104, 74, 15]",13
189,63,"[63, 92, 91, 201, 65, 34, 276, 184, 243, 8, 117, 1, 5]",13
190,63,"[63, 92, 91, 201, 84, 41, 114, 106, 272, 246, 104, 74, 15]",13
191,63,"[63, 92, 91, 201, 65, 34, 276, 184, 243, 8, 117, 40, 25]",13
192,64,"[64, 142, 243, 8, 117, 1, 5]",7
193,64,"[64, 142, 243, 8, 117, 40, 25]",7
194,64,"[64, 142, 243, 8, 146, 104, 74, 15]",8
195,65,"[65, 34, 276, 184, 243, 8, 117, 1, 5]",9
196,65,"[65, 34, 276, 184, 243, 8, 117, 40, 25]",9
197,65,"[65, 34, 276, 184, 243, 8, 146, 104, 74, 15]",10
198,66,"[66, 43, 292, 223, 24, 241, 14, 81, 25]",9
199,66,"[66, 43, 292, 223, 258, 264, 236, 155, 1, 5]",10
200,66,"[66, 43, 292, 223, 258, 264, 198, 146, 104, 74, 15]",11
201,67,"[67, 278, 111, 96, 258, 264, 236, 155, 1, 5]",10
202,67,"[67, 278, 111, 96, 258, 264, 198, 146, 104, 74, 15]",11
203,67,"[67, 278, 111, 96, 258, 223, 24, 241, 14, 81, 25]",11
204,68,"[68, 276, 184, 243, 8, 117, 1, 5]",8
205,68,"[68, 276, 184, 243, 8, 117, 40, 25]",8
206,68,"[68, 276, 184, 243, 8, 146, 104, 74, 15]",9
207,69,"[69, 35, 24, 241, 14, 81, 25]",7
208,69,"[69, 86, 184, 243, 8, 117, 1, 5]",8
209,69,"[69, 35, 188, 71, 46, 194, 287, 10]",8
210,70,"[70, 270, 283, 252, 72, 40, 25]",7
211,70,"[70, 270, 283, 252, 72, 40, 115, 15]",8
212,70,"[70, 270, 283, 252, 72, 40, 117, 1, 5]",9
213,71,"[71, 46, 194, 287, 10]",5
214,71,"[71, 46, 0, 155, 1, 5]",6
215,71,"[71, 254, 222, 163, 76, 81, 25]",7
216,72,"[72, 40, 25]",3
217,72,"[72, 40, 115, 15]",4
218,72,"[72, 40, 117, 1, 5]",5
219,73,"[73, 211, 236, 155, 1, 5]",6
220,73,"[73, 211, 236, 280, 76, 81, 25]",7
221,73,"[73, 211, 236, 155, 0, 46, 194, 287, 10]",9
222,74,"[74, 15]",2
223,74,"[74, 15, 115, 40, 25]",5
224,74,"[74, 15, 115, 40, 117, 1, 5]",7
225,75,"[75, 139, 73, 211, 236, 155, 1, 5]",8
226,75,"[75, 27, 181, 106, 272, 246, 104, 74, 15]",9
227,75,"[75, 139, 73, 211, 236, 280, 76, 81, 25]",9
228,76,"[76, 81, 25]",3
229,76,"[76, 280, 236, 155, 1, 5]",6
230,76,"[76, 81, 25, 40, 115, 15]",6
231,77,"[77, 297, 275, 159, 5]",5
232,77,"[77, 297, 275, 159, 5, 1, 117, 40, 25]",9
233,77,"[77, 55, 96, 258, 264, 198, 146, 104, 74, 15]",10
234,78,"[78, 227, 104, 74, 15]",5
